,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
107,H100,CUDA Explicit Memory,10809,1,1,1024,2,double,308.278,35.904,0.287232,4706.01
108,H100,CUDA Explicit Memory,11585,1,1,1024,2,double,308.328,38.4754,0.307803,5043.05
109,H100,CUDA Explicit Memory,12416,1,1,1024,2,double,308.308,41.2379,0.329903,5405.14
110,H100,CUDA Explicit Memory,13307,1,1,1024,2,double,308.304,44.1978,0.353583,5793.1
111,H100,CUDA Explicit Memory,14263,1,1,1024,2,double,308.305,47.3729,0.378983,6209.26
112,H100,CUDA Explicit Memory,15286,1,1,1024,2,double,308.276,50.7754,0.406204,6655.24
113,H100,CUDA Explicit Memory,16384,1,1,1024,2,double,308.316,54.4157,0.435326,7132.38
114,H100,CUDA Explicit Memory,17559,1,1,1024,2,double,308.285,58.324,0.466592,7644.64
115,H100,CUDA Explicit Memory,18820,1,1,1024,2,double,308.335,62.5024,0.500019,8192.31
116,H100,CUDA Explicit Memory,20171,1,1,1024,2,double,308.346,66.9867,0.535894,8780.08
117,H100,CUDA Explicit Memory,21618,1,1,1024,2,double,308.351,71.7909,0.574327,9409.78
118,H100,CUDA Explicit Memory,23170,1,1,1024,2,double,308.316,76.9537,0.61563,10086.5
119,H100,CUDA Explicit Memory,24833,1,1,1024,2,double,308.315,82.4774,0.659819,10810.5
120,H100,CUDA Explicit Memory,26615,1,1,1024,2,double,308.356,88.3842,0.707074,11584.7
121,H100,CUDA Explicit Memory,28526,1,1,1024,2,double,308.33,94.7383,0.757906,12417.5
122,H100,CUDA Explicit Memory,30573,1,1,1024,2,double,308.53,101.471,0.811764,13299.9
123,H100,CUDA Explicit Memory,32768,1,1,1024,2,double,308.366,108.814,0.87051,14262.4
124,H100,CUDA Explicit Memory,35119,1,1,1024,2,double,410.196,87.67,0.70136,11491.1
125,H100,CUDA Explicit Memory,37640,1,1,1024,2,double,410.143,93.9754,0.751803,12317.5
126,H100,CUDA Explicit Memory,40342,1,1,1024,2,double,410.125,100.726,0.805806,13202.3
127,H100,CUDA Explicit Memory,43237,1,1,1024,2,double,410.067,107.969,0.863756,14151.8
128,H100,CUDA Explicit Memory,46340,1,1,1024,2,double,410.086,115.713,0.925702,15166.7
129,H100,CUDA Explicit Memory,49667,1,1,1024,2,double,410.093,124.018,0.992147,16255.3
130,H100,CUDA Explicit Memory,53231,1,1,1024,2,double,410.171,132.892,1.06314,17418.5
131,H100,CUDA Explicit Memory,57052,1,1,1024,2,double,410.153,142.438,1.1395,18669.6
132,H100,CUDA Explicit Memory,61147,1,1,1024,2,double,410.216,152.638,1.2211,20006.5
133,H100,CUDA Explicit Memory,65536,1,1,1024,2,double,410.226,163.59,1.30872,21442.1
134,H100,CUDA Explicit Memory,70239,1,1,1024,2,double,714.082,100.723,0.805787,13202.0
135,H100,CUDA Explicit Memory,75281,1,1,1024,2,double,714.002,107.966,0.863726,14151.3
136,H100,CUDA Explicit Memory,80684,1,1,1024,2,double,714.076,115.703,0.92562,15165.4
137,H100,CUDA Explicit Memory,86475,1,1,1024,2,double,714.292,123.97,0.991756,16248.9
138,H100,CUDA Explicit Memory,92681,1,1,1024,2,double,714.29,132.867,1.06293,17415.1
