,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
202,A40,CUDA Explicit Memory,45,1,1,1024,2,float,158.091,0.291477,0.00116591,38.2045
203,A40,CUDA Explicit Memory,48,1,1,1024,2,float,158.124,0.310844,0.00124338,40.743
204,A40,CUDA Explicit Memory,51,1,1,1024,2,float,158.09,0.330343,0.00132137,43.2987
205,A40,CUDA Explicit Memory,55,1,1,1024,2,float,158.118,0.35619,0.00142476,46.6865
206,A40,CUDA Explicit Memory,59,1,1,1024,2,float,158.091,0.382159,0.00152863,50.0903
207,A40,CUDA Explicit Memory,64,1,1,1024,2,float,158.092,0.414543,0.00165817,54.3349
208,A40,CUDA Explicit Memory,68,1,1,1024,2,float,158.091,0.440454,0.00176182,57.7312
209,A40,CUDA Explicit Memory,73,1,1,1024,2,float,158.133,0.472717,0.00189087,61.96
210,A40,CUDA Explicit Memory,78,1,1,1024,2,float,158.145,0.505055,0.00202022,66.1986
211,A40,CUDA Explicit Memory,84,1,1,1024,2,float,158.118,0.543999,0.002176,71.303
212,A40,CUDA Explicit Memory,90,1,1,1024,2,float,158.118,0.582855,0.00233142,76.396
213,A40,CUDA Explicit Memory,97,1,1,1024,2,float,158.086,0.628317,0.00251327,82.3548
214,A40,CUDA Explicit Memory,103,1,1,1024,2,float,158.129,0.666999,0.002668,87.4249
215,A40,CUDA Explicit Memory,111,1,1,1024,2,float,158.107,0.718906,0.00287562,94.2285
216,A40,CUDA Explicit Memory,119,1,1,1024,2,float,158.114,0.770686,0.00308274,101.015
217,A40,CUDA Explicit Memory,128,1,1,1024,2,float,158.111,0.828986,0.00331595,108.657
218,A40,CUDA Explicit Memory,137,1,1,1024,2,float,177.38,0.790892,0.00316357,103.664
219,A40,CUDA Explicit Memory,147,1,1,1024,2,float,177.374,0.84865,0.0033946,111.234
220,A40,CUDA Explicit Memory,157,1,1,1024,2,float,168.006,0.95692,0.00382768,125.425
221,A40,CUDA Explicit Memory,168,1,1,1024,2,float,177.425,0.969606,0.00387842,127.088
222,A40,CUDA Explicit Memory,181,1,1,1024,2,float,177.463,1.04441,0.00417763,136.893
223,A40,CUDA Explicit Memory,194,1,1,1024,2,float,180.19,1.10248,0.00440992,144.504
224,A40,CUDA Explicit Memory,207,1,1,1024,2,float,180.227,1.17612,0.00470447,154.156
225,A40,CUDA Explicit Memory,222,1,1,1024,2,float,180.18,1.26167,0.0050467,165.37
226,A40,CUDA Explicit Memory,238,1,1,1024,2,float,180.179,1.35261,0.00541044,177.289
227,A40,CUDA Explicit Memory,256,1,1,1024,2,float,177.374,1.47792,0.00591168,193.714
228,A40,CUDA Explicit Memory,274,1,1,1024,2,float,177.41,1.58151,0.00632605,207.292
229,A40,CUDA Explicit Memory,294,1,1,1024,2,float,177.391,1.69713,0.00678854,222.447
230,A40,CUDA Explicit Memory,315,1,1,1024,2,float,177.446,1.81779,0.00727117,238.262
231,A40,CUDA Explicit Memory,337,1,1,1024,2,float,177.409,1.94516,0.00778063,254.956
232,A40,CUDA Explicit Memory,362,1,1,1024,2,float,177.431,2.0892,0.0083568,273.836
233,A40,CUDA Explicit Memory,388,1,1,1024,2,float,177.401,2.23963,0.0089585,293.552
234,A40,CUDA Explicit Memory,415,1,1,1024,2,float,177.462,2.39465,0.00957861,313.872
235,A40,CUDA Explicit Memory,445,1,1,1024,2,float,177.406,2.56857,0.0102743,336.668
236,A40,CUDA Explicit Memory,477,1,1,1024,2,float,180.187,2.71078,0.0108431,355.308
237,A40,CUDA Explicit Memory,512,1,1,1024,2,float,180.166,2.91003,0.0116401,381.424
238,A40,CUDA Explicit Memory,548,1,1,1024,2,float,180.198,3.11408,0.0124563,408.169
239,A40,CUDA Explicit Memory,588,1,1,1024,2,float,180.165,3.342,0.013368,438.043
240,A40,CUDA Explicit Memory,630,1,1,1024,2,float,180.186,3.58031,0.0143212,469.278
241,A40,CUDA Explicit Memory,675,1,1,1024,2,float,180.177,3.83622,0.0153449,502.821
242,A40,CUDA Explicit Memory,724,1,1,1024,2,float,180.178,4.11469,0.0164588,539.321
243,A40,CUDA Explicit Memory,776,1,1,1024,2,float,180.178,4.41021,0.0176408,578.055
244,A40,CUDA Explicit Memory,831,1,1,1024,2,float,180.186,4.7226,0.0188904,619.001
245,A40,CUDA Explicit Memory,891,1,1,1024,2,float,180.189,5.0635,0.020254,663.683
246,A40,CUDA Explicit Memory,955,1,1,1024,2,float,180.175,5.4276,0.0217104,711.406
247,A40,CUDA Explicit Memory,1024,1,1,1024,2,float,180.247,5.81744,0.0232697,762.503
248,A40,CUDA Explicit Memory,1097,1,1,1024,2,float,180.195,6.23396,0.0249359,817.098
249,A40,CUDA Explicit Memory,1176,1,1,1024,2,float,180.193,6.68296,0.0267318,875.949
250,A40,CUDA Explicit Memory,1260,1,1,1024,2,float,180.188,7.16053,0.0286421,938.545
251,A40,CUDA Explicit Memory,1351,1,1,1024,2,float,180.265,7.67437,0.0306975,1005.9
252,A40,CUDA Explicit Memory,1448,1,1,1024,2,float,180.21,8.2279,0.0329116,1078.45
253,A40,CUDA Explicit Memory,1552,1,1,1024,2,float,180.222,8.8183,0.0352732,1155.83
254,A40,CUDA Explicit Memory,1663,1,1,1024,2,float,180.217,9.44923,0.0377969,1238.53
255,A40,CUDA Explicit Memory,1782,1,1,1024,2,float,180.215,10.1255,0.0405019,1327.17
256,A40,CUDA Explicit Memory,1910,1,1,1024,2,float,180.206,10.8534,0.0434135,1422.57
257,A40,CUDA Explicit Memory,2048,1,1,1024,2,float,180.2,11.6379,0.0465517,1525.41
258,A40,CUDA Explicit Memory,2194,1,1,1024,2,float,180.218,12.4663,0.0498652,1633.98
259,A40,CUDA Explicit Memory,2352,1,1,1024,2,float,180.236,13.3627,0.0534509,1751.48
260,A40,CUDA Explicit Memory,2521,1,1,1024,2,float,180.204,14.3255,0.0573019,1877.67
261,A40,CUDA Explicit Memory,2702,1,1,1024,2,float,180.236,15.3512,0.0614049,2012.12
262,A40,CUDA Explicit Memory,2896,1,1,1024,2,float,180.217,16.4552,0.0658208,2156.82
263,A40,CUDA Explicit Memory,3104,1,1,1024,2,float,180.222,17.6365,0.0705462,2311.66
264,A40,CUDA Explicit Memory,3326,1,1,1024,2,float,180.235,18.8966,0.0755864,2476.82
265,A40,CUDA Explicit Memory,3565,1,1,1024,2,float,180.219,20.2562,0.0810249,2655.02
