,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
105,A100-SXM4-80GB,CUDA Explicit Memory,9410,1,1,1024,2,double,1,387.178,24.8873,0.199099,3262.03
106,A100-SXM4-80GB,CUDA Explicit Memory,10085,1,1,1024,2,double,1,387.334,26.6618,0.213295,3494.62
107,A100-SXM4-80GB,CUDA Explicit Memory,10809,1,1,1024,2,double,1,387.314,28.5774,0.228619,3745.7
108,A100-SXM4-80GB,CUDA Explicit Memory,11585,1,1,1024,2,double,1,387.426,30.6202,0.244961,4013.45
109,A100-SXM4-80GB,CUDA Explicit Memory,12416,1,1,1024,2,double,1,387.34,32.8238,0.26259,4302.28
110,A100-SXM4-80GB,CUDA Explicit Memory,13307,1,1,1024,2,double,1,387.557,35.1597,0.281277,4608.45
111,A100-SXM4-80GB,CUDA Explicit Memory,14263,1,1,1024,2,double,1,387.721,37.6696,0.301357,4937.43
112,A100-SXM4-80GB,CUDA Explicit Memory,15286,1,1,1024,2,double,1,387.817,40.3615,0.322892,5290.26
113,A100-SXM4-80GB,CUDA Explicit Memory,16384,1,1,1024,2,double,1,387.851,43.2569,0.346055,5669.77
114,A100-SXM4-80GB,CUDA Explicit Memory,17559,1,1,1024,2,double,1,388.061,46.334,0.370672,6073.09
115,A100-SXM4-80GB,CUDA Explicit Memory,18820,1,1,1024,2,double,1,387.989,49.6707,0.397365,6510.43
116,A100-SXM4-80GB,CUDA Explicit Memory,20171,1,1,1024,2,double,1,388.067,53.2257,0.425805,6976.4
117,A100-SXM4-80GB,CUDA Explicit Memory,21618,1,1,1024,2,double,1,388.049,57.0465,0.456372,7477.2
118,A100-SXM4-80GB,CUDA Explicit Memory,23170,1,1,1024,2,double,1,388.11,61.1323,0.489059,8012.73
119,A100-SXM4-80GB,CUDA Explicit Memory,24833,1,1,1024,2,double,1,387.933,65.5499,0.524399,8591.76
120,A100-SXM4-80GB,CUDA Explicit Memory,26615,1,1,1024,2,double,1,388.113,70.2213,0.56177,9204.04
121,A100-SXM4-80GB,CUDA Explicit Memory,28526,1,1,1024,2,double,1,770.238,37.9241,0.303393,4970.79
122,A100-SXM4-80GB,CUDA Explicit Memory,30573,1,1,1024,2,double,1,770.523,40.6305,0.325044,5325.52
123,A100-SXM4-80GB,CUDA Explicit Memory,32768,1,1,1024,2,double,1,770.016,43.5763,0.34861,5711.63
124,A100-SXM4-80GB,CUDA Explicit Memory,35119,1,1,1024,2,double,1,770.16,46.694,0.373552,6120.27
125,A100-SXM4-80GB,CUDA Explicit Memory,37640,1,1,1024,2,double,1,770.49,50.0245,0.400196,6556.8
126,A100-SXM4-80GB,CUDA Explicit Memory,40342,1,1,1024,2,double,1,770.339,53.626,0.429008,7028.86
127,A100-SXM4-80GB,CUDA Explicit Memory,43237,1,1,1024,2,double,1,770.755,57.4433,0.459546,7529.2
128,A100-SXM4-80GB,CUDA Explicit Memory,46340,1,1,1024,2,double,1,770.845,61.5586,0.492469,8068.61
129,A100-SXM4-80GB,CUDA Explicit Memory,49667,1,1,1024,2,double,1,771.072,65.9588,0.527671,8645.36
130,A100-SXM4-80GB,CUDA Explicit Memory,53231,1,1,1024,2,double,1,771.482,70.6543,0.565235,9260.8
131,A100-SXM4-80GB,CUDA Explicit Memory,57052,1,1,1024,2,double,1,1153.18,50.6608,0.405287,6640.22
132,A100-SXM4-80GB,CUDA Explicit Memory,61147,1,1,1024,2,double,1,1153.71,54.2723,0.434178,7113.57
133,A100-SXM4-80GB,CUDA Explicit Memory,65536,1,1,1024,2,double,1,1153.87,58.1598,0.465278,7623.12
