,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
114,A100-SXM4-80GB,CUDA Explicit Memory,17559,1,1,1024,2,double,2.693,6676.73,106.828,6.67673
115,A100-SXM4-80GB,CUDA Explicit Memory,18820,1,1,1024,2,double,2.72144,7081.42,113.303,7.08142
116,A100-SXM4-80GB,CUDA Explicit Memory,20171,1,1,1024,2,double,2.77901,7432.55,118.921,7.43255
117,A100-SXM4-80GB,CUDA Explicit Memory,21618,1,1,1024,2,double,2.76196,8014.89,128.238,8.01489
118,A100-SXM4-80GB,CUDA Explicit Memory,23170,1,1,1024,2,double,2.76499,8580.89,137.294,8.58089
119,A100-SXM4-80GB,CUDA Explicit Memory,24833,1,1,1024,2,double,3.32461,7648.72,122.38,7.64872
120,A100-SXM4-80GB,CUDA Explicit Memory,26615,1,1,1024,2,double,3.35468,8124.11,129.986,8.12411
121,A100-SXM4-80GB,CUDA Explicit Memory,28526,1,1,1024,2,double,2.96576,9849.3,157.589,9.8493
122,A100-SXM4-80GB,CUDA Explicit Memory,30573,1,1,1024,2,double,2.92553,10701.2,171.22,10.7012
123,A100-SXM4-80GB,CUDA Explicit Memory,32768,1,1,1024,2,double,2.77603,12087.2,193.395,12.0872
124,A100-SXM4-80GB,CUDA Explicit Memory,35119,1,1,1024,2,double,3.30368,10885.4,174.166,10.8854
125,A100-SXM4-80GB,CUDA Explicit Memory,37640,1,1,1024,2,double,3.10338,12419.8,198.717,12.4198
126,A100-SXM4-80GB,CUDA Explicit Memory,40342,1,1,1024,2,double,3.06698,13469.3,215.51,13.4693
127,A100-SXM4-80GB,CUDA Explicit Memory,43237,1,1,1024,2,double,2.88951,15322.6,245.161,15.3226
128,A100-SXM4-80GB,CUDA Explicit Memory,46340,1,1,1024,2,double,2.87336,16514.5,264.233,16.5145
129,A100-SXM4-80GB,CUDA Explicit Memory,49667,1,1,1024,2,double,2.82668,17992.5,287.88,17.9925
130,A100-SXM4-80GB,CUDA Explicit Memory,53231,1,1,1024,2,double,2.88259,18909.5,302.553,18.9095
131,A100-SXM4-80GB,CUDA Explicit Memory,57052,1,1,1024,2,double,2.94696,19824.2,317.188,19.8242
132,A100-SXM4-80GB,CUDA Explicit Memory,61147,1,1,1024,2,double,2.94311,21274.9,340.399,21.2749
133,A100-SXM4-80GB,CUDA Explicit Memory,65536,1,1,1024,2,double,3.20365,20947.6,335.162,20.9476
134,A100-SXM4-80GB,CUDA Explicit Memory,70239,1,1,1024,2,double,3.22792,22282.1,356.513,22.2821
135,A100-SXM4-80GB,CUDA Explicit Memory,75281,1,1,1024,2,double,3.4052,22638.3,362.212,22.6383
136,A100-SXM4-80GB,CUDA Explicit Memory,80684,1,1,1024,2,double,3.04192,27160.6,434.57,27.1606
137,A100-SXM4-80GB,CUDA Explicit Memory,86475,1,1,1024,2,double,3.12429,28342.5,453.481,28.3425
138,A100-SXM4-80GB,CUDA Explicit Memory,92681,1,1,1024,2,double,3.50098,27108.2,433.732,27.1082
139,A100-SXM4-80GB,CUDA Explicit Memory,99334,1,1,1024,2,double,3.014,33748.5,539.975,33.7485
140,A100-SXM4-80GB,CUDA Explicit Memory,106463,1,1,1024,2,double,3.11694,34976.0,559.616,34.976
141,A100-SXM4-80GB,CUDA Explicit Memory,114104,1,1,1024,2,double,3.29706,35438.4,567.015,35.4384
142,A100-SXM4-80GB,CUDA Explicit Memory,122294,1,1,1024,2,double,3.83826,32626.6,522.025,32.6266
143,A100-SXM4-80GB,CUDA Explicit Memory,131072,1,1,1024,2,double,3.24657,41341.5,661.463,41.3415
144,A100-SXM4-80GB,CUDA Explicit Memory,140479,1,1,1024,2,double,3.7235,38633.2,618.13,38.6332
145,A100-SXM4-80GB,CUDA Explicit Memory,150562,1,1,1024,2,double,4.0436,38128.3,610.052,38.1283
146,A100-SXM4-80GB,CUDA Explicit Memory,161368,1,1,1024,2,double,3.4284,48197.6,771.162,48.1976
147,A100-SXM4-80GB,CUDA Explicit Memory,172950,1,1,1024,2,double,3.87183,45740.8,731.853,45.7408
148,A100-SXM4-80GB,CUDA Explicit Memory,185363,1,1,1024,2,double,3.37374,56261.6,900.185,56.2616
149,A100-SXM4-80GB,CUDA Explicit Memory,198668,1,1,1024,2,double,3.43777,59176.7,946.827,59.1767
150,A100-SXM4-80GB,CUDA Explicit Memory,212927,1,1,1024,2,double,3.85408,56573.1,905.17,56.5731
151,A100-SXM4-80GB,CUDA Explicit Memory,228209,1,1,1024,2,double,3.5092,66592.3,1065.48,66.5923
152,A100-SXM4-80GB,CUDA Explicit Memory,244589,1,1,1024,2,double,3.64401,68731.7,1099.71,68.7317
153,A100-SXM4-80GB,CUDA Explicit Memory,262144,1,1,1024,2,double,3.74386,71700.2,1147.2,71.7002
154,A100-SXM4-80GB,CUDA Explicit Memory,280958,1,1,1024,2,double,3.86886,74363.3,1189.81,74.3633
155,A100-SXM4-80GB,CUDA Explicit Memory,301124,1,1,1024,2,double,4.54376,67862.5,1085.8,67.8625
156,A100-SXM4-80GB,CUDA Explicit Memory,322737,1,1,1024,2,double,4.51876,73135.7,1170.17,73.1357
157,A100-SXM4-80GB,CUDA Explicit Memory,345901,1,1,1024,2,double,4.67276,75801.6,1212.83,75.8016
158,A100-SXM4-80GB,CUDA Explicit Memory,370727,1,1,1024,2,double,4.43953,85510.1,1368.16,85.5101
159,A100-SXM4-80GB,CUDA Explicit Memory,397336,1,1,1024,2,double,4.38697,92745.5,1483.93,92.7455
160,A100-SXM4-80GB,CUDA Explicit Memory,425854,1,1,1024,2,double,4.89974,88999.6,1423.99,88.9996
161,A100-SXM4-80GB,CUDA Explicit Memory,456419,1,1,1024,2,double,4.95251,94370.9,1509.94,94.3709
162,A100-SXM4-80GB,CUDA Explicit Memory,489178,1,1,1024,2,double,5.59291,89563.1,1433.01,89.5631
163,A100-SXM4-80GB,CUDA Explicit Memory,524288,1,1,512,2,double,2.80342,95753.0,1532.05,95.753
164,A100-SXM4-80GB,CUDA Explicit Memory,561917,1,1,512,2,double,2.8831,99789.1,1596.63,99.7891
