,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride_read,stride_write,time,mlups,bandwidth,compute
203,A40,CUDA Explicit Memory,8388608,1,1,2,2,double,1,1,0.422638,39696.4,635.143,39.6964
204,A40,CUDA Explicit Memory,8990687,1,1,2,2,double,1,1,0.453947,39611.2,633.779,39.6112
205,A40,CUDA Explicit Memory,9635980,1,1,2,2,double,1,1,0.485277,39713.3,635.413,39.7133
206,A40,CUDA Explicit Memory,10327587,1,1,2,2,double,1,1,0.517998,39875.0,638.0,39.875
207,A40,CUDA Explicit Memory,11068834,1,1,2,2,double,1,1,0.556791,39759.4,636.15,39.7594
208,A40,CUDA Explicit Memory,11863283,1,1,2,2,double,1,1,0.594642,39900.6,638.409,39.9006
209,A40,CUDA Explicit Memory,12714752,1,1,2,2,double,1,1,0.636602,39945.7,639.131,39.9457
210,A40,CUDA Explicit Memory,13627333,1,1,2,2,double,1,1,0.680855,40030.1,640.481,40.0301
211,A40,CUDA Explicit Memory,14605414,1,1,2,2,double,1,1,0.727814,40135.0,642.16,40.135
212,A40,CUDA Explicit Memory,15653696,1,1,2,2,double,1,1,0.780694,40102.0,641.632,40.102
213,A40,CUDA Explicit Memory,16777216,1,1,2,2,double,1,1,0.834315,40217.9,643.487,40.2179
214,A40,CUDA Explicit Memory,17981374,1,1,2,2,double,1,1,0.896723,40104.6,641.674,40.1046
215,A40,CUDA Explicit Memory,19271960,1,1,2,2,double,1,1,0.959902,40154.0,642.464,40.154
216,A40,CUDA Explicit Memory,20655175,1,1,2,2,double,1,1,1.02623,40254.6,644.073,40.2546
217,A40,CUDA Explicit Memory,22137669,1,1,2,2,double,1,1,1.10107,40211.3,643.38,40.2113
218,A40,CUDA Explicit Memory,23726566,1,1,2,2,double,1,1,1.18075,40189.0,643.024,40.189
219,A40,CUDA Explicit Memory,25429504,1,1,2,2,double,1,1,1.26152,40315.6,645.05,40.3156
220,A40,CUDA Explicit Memory,27254667,1,1,2,2,double,1,1,1.35025,40369.8,645.917,40.3698
